time,x,y,chem
5.1333,-2.72470688341263,1.19796153338937,480
10.9,-2.29711595588312,1.07573100228204,482
16.8667,-1.92148155169258,1.17724716534267,482
22.7333,-1.54136517510578,1.43991479512179,486
28.6333,-1.09936047343686,1.61014626432875,486
34.4333,-0.752887523785209,1.9008837362596,488
40.4,-0.347780964634139,2.03836475067647,485
46.1667,0.107641192820349,2.06876257620916,483
52.0333,0.56334806287123,2.00070302236424,485
57.9,1.01645482065785,1.9547177318606,484
63.7333,1.457517036562,1.89521204643915,488
69.6,1.86033252293982,1.81748604745038,487
75.4333,2.30053083795465,1.77667844517872,486
